"key","where_it_appears","placeholders","english","current_yo","corrected"
"ai_disclosure","General replies","{org}","I'm an AI assistant for {org} — but I can help with most things right away, and I'll bring in a human colleague the moment you'd prefer one. What can I do for you?","Olùrànlọ́wọ́ AI ti {org} ni mí — ṣùgbọ́n mo lè ràn ọ́ lọ́wọ́ lẹ́sẹ̀kẹsẹ̀ lórí ọ̀pọ̀ nǹkan, tí o bá sì fẹ́ ènìyàn, màá pe alábàáṣiṣẹ́ mi. Kí ni mo lè ṣe fún ọ?",""
"escalation_connecting","General replies","","Connecting you to a live human agent right away. Please hold on a moment...","Mò ń so ọ́ pọ̀ mọ́ ènìyàn báyìí. Jọ̀wọ́ dúró díẹ̀...",""
"payment_details","General replies","{account} {bank} {number}","Payment goes to {account}, {bank}, account number {number}.","Ẹ san owó sí {account}, {bank}, nọ́mbà àkáǹtì {number}.",""
"payment_details_ussd_suffix","General replies","{ussd}"," You can also dial {ussd}."," O tún lè tẹ {ussd}.",""
"payment_unconfigured","General replies","{org}","I don't have our payment details on hand to share with you, and I don't want to give you the wrong account. Let me pass you to a colleague at {org} who can help.","N kò ní àlàyé ìsanwó wa lọ́wọ́ báyìí, n kò sì fẹ́ fún ọ ní àkáǹtì tí kò tọ́. Jẹ́ kí n so ọ́ pọ̀ mọ́ òṣìṣẹ́ {org} tí yóò ràn ọ́ lọ́wọ́.",""
"booking_confirmed","General replies","{ref} {service} {when}","I've put you down for *{service}* on *{when}* (West Africa Time).\n\nReference: #{ref}\n\nIf that time doesn't work, just say *""reschedule""* and I'll move it.","Mo ti ṣe ìforúkọsílẹ̀ *{service}* fún ọ ní *{when}* (àkókò Nàìjíríà).\n\nNọ́mbà ìtọ́kasí: #{ref}\n\nTí àkókò náà kò bá bá ọ mu, sọ *""reschedule""* kí n yí i padà.",""
"booking_cancelled","General replies","{ref} {service}","✅ Your booking for *{service}* has been successfully cancelled.\n\nReference: #{ref}\n\nIf you paid and would like a refund, please say *""I need a refund""* and I'll raise a request for you.","✅ Mo ti fagi lé ìforúkọsílẹ̀ rẹ fún *{service}*.\n\nNọ́mbà ìtọ́kasí: #{ref}\n\nTí o bá ti sanwó tí o sì fẹ́ owó rẹ padà, sọ *""I need a refund""* kí n gbé e kalẹ̀.",""
"no_upcoming_booking","General replies","","I can't find an upcoming appointment under this number.","N kò rí ìpàdé kankan tó ń bọ̀ lórí nọ́mbà yìí.",""
"tool_failure","General replies","","I ran into a technical problem completing that automatically. Let me connect you with a team member who can help right away.","Ìṣòro kékeré wáyé bí mo ṣe ń gbìyànjú rẹ̀ fúnra mi. Jẹ́ kí n so ọ́ pọ̀ mọ́ òṣìṣẹ́ tí yóò ràn ọ́ lọ́wọ́ lẹ́sẹ̀kẹsẹ̀.",""
"capabilities","General replies","{org}","Here's what I can do for you at {org}:\n\n• Book, check, move or cancel an appointment\n• Share our payment details when you want to pay\n• File a complaint or report a problem\n• Raise a refund request\n• Answer questions about our services\n\nAnd any time you'd rather talk to a person, just say *""speak to an agent""*.","Ohun tí mo lè ṣe fún ọ ní {org}:\n\n• Ṣe ìpàdé, ṣàyẹ̀wò rẹ̀, yí i padà tàbí fagi lé e\n• Fi bí o ṣe lè sanwó hàn ọ́\n• Gba ẹ̀sùn tàbí ìròyìn ìṣòro\n• Bèèrè kí wọ́n dá owó padà\n• Dáhùn ìbéèrè nípa iṣẹ́ wa\n\nNígbàkúgbà tí o bá fẹ́ ènìyàn, sọ *""speak to an agent""*.",""
"language_menu","General replies","","Which language would you like me to use? Reply with a number:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá","Èdè wo ni o fẹ́ kí n lò? Fi nọ́mbà dáhùn:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá",""
"language_set","General replies","","Done — I'll reply in English from now on. Say *""change language""* any time you want to switch.","Ó ti parí — Yorùbá ni màá lò láti ìsinsìnyí. Sọ *""change language""* nígbàkúgbà tí o bá fẹ́ yí i padà.",""
"language_voice_unavailable","General replies","{language} {language}","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?",""
"flow_abandoned","Any form","","No problem — I've stopped that. Tell me any time you'd like to start again.","Kò sí wàhálà — mo ti dá a dúró. Sọ fún mi nígbàkúgbà tí o bá fẹ́ bẹ̀rẹ̀ lẹ́ẹ̀kansí.",""
"flow_what_to_change","Any form","","No problem. Which part should I change?","Kò sí wàhálà. Apá wo ni kí n yí padà?",""
"enrol_name_ask","PLASCHEMA enrollment form","","Let's get you registered. What is your full name, as it should appear on your health card?","Jẹ́ kí a forúkọ rẹ sílẹ̀. Kí ni orúkọ rẹ ní kíkún, gẹ́gẹ́ bí yóò ṣe hàn lórí káàdì ìlera rẹ?",""
"enrol_name_two_words","PLASCHEMA enrollment form","","Could you give me your full name — first name and surname?","Jọ̀wọ́ fún mi ní orúkọ rẹ ní kíkún — orúkọ àkọ́kọ́ àti orúkọ ìdílé.",""
"enrol_name_digits","PLASCHEMA enrollment form","","That looks like it has numbers in it. What is your full name?","Èyí ní àwọn nọ́ḿbà nínú rẹ̀. Kí ni orúkọ rẹ ní kíkún?",""
"enrol_age_ask","PLASCHEMA enrollment form","{name}","Thank you, {name}. How old are you, or what is your date of birth?","O ṣé, {name}. Ọdún mélòó ni ọ́, tàbí kí ni ọjọ́ ìbí rẹ?",""
"enrol_age_implausible","PLASCHEMA enrollment form","","That age does not look right. How old are you, in years?","Ọdún yẹn kò tọ̀nà. Ọdún mélòó ni ọ́?",""
"enrol_age_unclear","PLASCHEMA enrollment form","","Could you tell me your age in years, or your date of birth?","Jọ̀wọ́ sọ ọdún rẹ fún mi, tàbí ọjọ́ ìbí rẹ.",""
"enrol_address_ask","PLASCHEMA enrollment form","","What is your street address, or the area where you live?","Kí ni àdírẹ́sì rẹ, tàbí agbègbè tí o ń gbé?",""
"enrol_address_short","PLASCHEMA enrollment form","","Could you give me a bit more — the street or the area you live in?","Jọ̀wọ́ fi kún un díẹ̀ — òpópónà tàbí agbègbè tí o ń gbé.",""
"enrol_lga_ask","PLASCHEMA enrollment form","","Which Local Government Area do you live in? For example: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.","Ìjọba Ìbílẹ̀ wo ni o ń gbé? Bí àpẹẹrẹ: Jos North, Jos South, Barkin Ladi, Mangu, Shendam.",""
"enrol_lga_unknown","PLASCHEMA enrollment form","{list}","I could not match that to a Plateau State LGA. Could you tell me which one you live in? The full list is: {list}.","Mi ò rí ìyẹn gẹ́gẹ́ bí Ìjọba Ìbílẹ̀ ní Ìpínlẹ̀ Plateau. Èwo ni o ń gbé? Àkọsílẹ̀ kíkún ni: {list}.",""
"enrol_plan_ask","PLASCHEMA enrollment form","","Which describes you best?\n\n1 — Formal Sector (you work for a company or government)\n2 — Informal Sector (self-employed, trader, farmer, artisan)\n3 — Equity Programme (free: pregnant, child under 5, over 65, living with a disability)\n4 — BHCPF (free, for the most vulnerable)\n\nReply with the number or the name.","Èwo ni ó bá ọ mu jùlọ?\n\n1 — Formal Sector (o ń ṣiṣẹ́ fún ilé-iṣẹ́ tàbí ìjọba)\n2 — Informal Sector (ara rẹ, oníṣòwò, àgbẹ̀, oníṣẹ́-ọwọ́)\n3 — Equity Programme (ọ̀fẹ́: aboyún, ọmọ tí kò tí ì pé ọdún 5, ju 65 lọ, ẹni tí ó ní àbùkù ara)\n4 — BHCPF (ọ̀fẹ́, fún àwọn tí ó nílò rẹ̀ jùlọ)\n\nDáhùn pẹ̀lú nọ́ḿbà tàbí orúkọ.",""
"enrol_plan_unclear","PLASCHEMA enrollment form","","I did not catch which plan that is. Reply 1 for Formal Sector, 2 for Informal Sector, 3 for the free Equity Programme, or 4 for BHCPF.","Mi ò gbọ́ èwo ni ètò náà. Dáhùn 1 fún Formal Sector, 2 fún Informal Sector, 3 fún Equity Programme ọ̀fẹ́, tàbí 4 fún BHCPF.",""
"enrol_facility_ask","PLASCHEMA enrollment form","{lga} {options}","Which hospital or health centre in {lga} would you like as your primary facility?\n\nAccredited options: {options}.","Ilé-ìwòsàn tàbí ilé-ìtọ́jú wo ní {lga} ni o fẹ́ gẹ́gẹ́ bí ibùdó àkọ́kọ́ rẹ?\n\nÀwọn tí a fọwọ́sí: {options}.",""
"enrol_facility_unaccredited","PLASCHEMA enrollment form","{lga} {options}","That one is not on the accredited list for {lga}, and a card issued against it would be refused at the desk. Please choose one of: {options}.","Ìyẹn kò sí nínú àkọsílẹ̀ tí a fọwọ́sí fún {lga}, káàdì tí a bá fi fún ọ yóò sì jẹ́ èyí tí wọn yóò kọ̀ ní tábìlì. Jọ̀wọ́ yan ọ̀kan nínú: {options}.",""
"enrol_nin_ask","PLASCHEMA enrollment form","","Last one, and it is optional: do you have your National Identification Number (NIN)? It speeds things up, but we can register you without it — just say ""no"".","Ìkẹyìn, kò sì ṣe dandan: ṣé o ní nọ́ḿbà NIN rẹ? Ó máa yára nǹkan, ṣùgbọ́n a lè forúkọ rẹ sílẹ̀ láìsí rẹ̀ — kàn sọ ""rárá"".",""
"enrol_nin_length","PLASCHEMA enrollment form","","A NIN is 11 digits. Could you check and send it again, or say ""no"" to continue without it?","NIN jẹ́ nọ́ḿbà 11. Jọ̀wọ́ ṣàyẹ̀wò kí o sì fi ránṣẹ́ lẹ́ẹ̀kansí, tàbí sọ ""rárá"" kí a tẹ̀síwájú láìsí rẹ̀.",""
"enrol_nin_none","PLASCHEMA enrollment form","","not provided","kò fi fúnni",""
"enrol_friend","PLASCHEMA enrollment form","","there","ọ̀rẹ́ mi",""
