"key","where_it_appears","placeholders","english","current_ig","corrected"
"ai_disclosure","General replies","{org}","I'm an AI assistant for {org} — but I can help with most things right away, and I'll bring in a human colleague the moment you'd prefer one. What can I do for you?","Abụ m onye enyemaka AI nke {org} — mana enwere m ike inyere gị aka ozugbo n’ọtụtụ ihe, ị chọọ mmadụ, m ga-akpọ onye ọrụ ibe m. Gịnị ka m ga-emere gị?",""
"escalation_connecting","General replies","","Connecting you to a live human agent right away. Please hold on a moment...","Ana m ejikọ gị na mmadụ ugbu a. Biko chere ntakịrị...",""
"payment_details","General replies","{account} {bank} {number}","Payment goes to {account}, {bank}, account number {number}.","Ị ga-akwụ ụgwọ na {account}, {bank}, nọmba akaụntụ {number}.",""
"payment_details_ussd_suffix","General replies","{ussd}"," You can also dial {ussd}."," Ị nwekwara ike ịpị {ussd}.",""
"payment_unconfigured","General replies","{org}","I don't have our payment details on hand to share with you, and I don't want to give you the wrong account. Let me pass you to a colleague at {org} who can help.","Enweghị m nkọwa ịkwụ ụgwọ anyị ugbu a, achọghịkwa m inye gị akaụntụ na-ezighị ezi. Ka m kpọọ onye ọrụ {org} ga-enyere gị aka.",""
"booking_confirmed","General replies","{ref} {service} {when}","I've put you down for *{service}* on *{when}* (West Africa Time).\n\nReference: #{ref}\n\nIf that time doesn't work, just say *""reschedule""* and I'll move it.","Edebela m gị *{service}* na *{when}* (oge Naịjịrịa).\n\nNọmba ntụaka: #{ref}\n\nỌ bụrụ na oge ahụ adịghị gị mma, kwuo *""reschedule""* ka m gbanwee ya.",""
"booking_cancelled","General replies","{ref} {service}","✅ Your booking for *{service}* has been successfully cancelled.\n\nReference: #{ref}\n\nIf you paid and would like a refund, please say *""I need a refund""* and I'll raise a request for you.","✅ Akagbuola m ndebanye gị maka *{service}*.\n\nNọmba ntụaka: #{ref}\n\nỌ bụrụ na ị kwụrụ ụgwọ ma chọọ nkwụghachi, kwuo *""I need a refund""* ka m debe ya.",""
"no_upcoming_booking","General replies","","I can't find an upcoming appointment under this number.","Ahụghị m nhọpụta ọ bụla na-abịa na nọmba a.",""
"tool_failure","General replies","","I ran into a technical problem completing that automatically. Let me connect you with a team member who can help right away.","Enwere nsogbu mgbe m na-eme ya ozugbo. Ka m jikọọ gị na onye ọrụ ga-enyere gị aka ozugbo.",""
"capabilities","General replies","{org}","Here's what I can do for you at {org}:\n\n• Book, check, move or cancel an appointment\n• Share our payment details when you want to pay\n• File a complaint or report a problem\n• Raise a refund request\n• Answer questions about our services\n\nAnd any time you'd rather talk to a person, just say *""speak to an agent""*.","Ihe m nwere ike imere gị na {org}:\n\n• Idebe oge, ilele ya, ịgbanwe ya ma ọ bụ kagbuo ya\n• Igosi gị otu ị ga-esi kwụọ ụgwọ\n• Ịnara mkpesa ma ọ bụ nsogbu\n• Ịrịọ nkwụghachi ego\n• Ịza ajụjụ gbasara ọrụ anyị\n\nMgbe ọ bụla ị chọrọ mmadụ, kwuo *""speak to an agent""*.",""
