"key","where_it_appears","placeholders","english","current_pcm","corrected"
"ai_disclosure","General replies","{org}","I'm an AI assistant for {org} — but I can help with most things right away, and I'll bring in a human colleague the moment you'd prefer one. What can I do for you?","Na AI assistant for {org} I be — but I fit help you sharp-sharp for plenty things, and anytime you want person, I go bring human colleague join. Wetin I fit do for you?",""
"escalation_connecting","General replies","","Connecting you to a live human agent right away. Please hold on a moment...","I dey connect you to person now-now. Abeg hold on small...",""
"payment_details","General replies","{account} {bank} {number}","Payment goes to {account}, {bank}, account number {number}.","Make you pay go {account}, {bank}, account number {number}.",""
"payment_details_ussd_suffix","General replies","{ussd}"," You can also dial {ussd}."," You fit still dial {ussd}.",""
"payment_unconfigured","General replies","{org}","I don't have our payment details on hand to share with you, and I don't want to give you the wrong account. Let me pass you to a colleague at {org} who can help.","I no get our payment details for hand, and I no wan give you wrong account. Make I carry you go meet person for {org} wey go help you.",""
"booking_confirmed","General replies","{ref} {service} {when}","I've put you down for *{service}* on *{when}* (West Africa Time).\n\nReference: #{ref}\n\nIf that time doesn't work, just say *""reschedule""* and I'll move it.","I don book you for *{service}* on *{when}* (West Africa Time).\n\nReference: #{ref}\n\nIf that time no work for you, just talk *""reschedule""* and I go move am.",""
"booking_cancelled","General replies","{ref} {service}","✅ Your booking for *{service}* has been successfully cancelled.\n\nReference: #{ref}\n\nIf you paid and would like a refund, please say *""I need a refund""* and I'll raise a request for you.","✅ I don cancel your booking for *{service}*.\n\nReference: #{ref}\n\nIf you don pay and you want refund, abeg talk *""I need a refund""* and I go raise am for you.",""
"no_upcoming_booking","General replies","","I can't find an upcoming appointment under this number.","I no see any appointment wey dey come for this number.",""
"tool_failure","General replies","","I ran into a technical problem completing that automatically. Let me connect you with a team member who can help right away.","Something spoil small as I dey try do am automatic. Make I connect you to team member wey go help you sharp-sharp.",""
"capabilities","General replies","{org}","Here's what I can do for you at {org}:\n\n• Book, check, move or cancel an appointment\n• Share our payment details when you want to pay\n• File a complaint or report a problem\n• Raise a refund request\n• Answer questions about our services\n\nAnd any time you'd rather talk to a person, just say *""speak to an agent""*.","See wetin I fit do for you for {org}:\n\n• Book appointment, check am, move am or cancel am\n• Show you how you go pay\n• Take your complaint or report problem\n• Raise refund request\n• Answer question about our services\n\nAnytime you want person, just talk *""speak to an agent""*.",""
"language_menu","General replies","","Which language would you like me to use? Reply with a number:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá","Which language you want make I take talk? Reply with number:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá",""
"language_set","General replies","","Done — I'll reply in English from now on. Say *""change language""* any time you want to switch.","Done — na Pidgin I go dey talk from now. Just talk *""change language""* anytime you wan change am.",""
"language_voice_unavailable","General replies","{language} {language}","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?",""
