"key","where_it_appears","placeholders","english","current_ha","corrected"
"ai_disclosure","General replies","{org}","I'm an AI assistant for {org} — but I can help with most things right away, and I'll bring in a human colleague the moment you'd prefer one. What can I do for you?","Ni mataimaki ne na AI na {org} — amma zan iya taimaka maka nan take a abubuwa da yawa, kuma duk lokacin da kake son mutum, zan kawo abokin aiki. Me zan yi maka?",""
"escalation_connecting","General replies","","Connecting you to a live human agent right away. Please hold on a moment...","Ina hada ka da mutum yanzu. Don Allah ka dan jira...",""
"payment_details","General replies","{account} {bank} {number}","Payment goes to {account}, {bank}, account number {number}.","Za a biya zuwa {account}, {bank}, lambar asusu {number}.",""
"payment_details_ussd_suffix","General replies","{ussd}"," You can also dial {ussd}."," Kuma za ka iya buga {ussd}.",""
"payment_unconfigured","General replies","{org}","I don't have our payment details on hand to share with you, and I don't want to give you the wrong account. Let me pass you to a colleague at {org} who can help.","Ba ni da cikakken bayanin biyan kudi a yanzu, kuma ba na son ba ka asusun da ba daidai ba. Bari in hada ka da ma’aikacin {org} da zai taimaka.",""
"booking_confirmed","General replies","{ref} {service} {when}","I've put you down for *{service}* on *{when}* (West Africa Time).\n\nReference: #{ref}\n\nIf that time doesn't work, just say *""reschedule""* and I'll move it.","Na yi maka rajistar *{service}* ranar *{when}* (lokacin Najeriya).\n\nLambar tunani: #{ref}\n\nIdan lokacin bai dace ba, ka ce *""reschedule""* zan canza shi.",""
"booking_cancelled","General replies","{ref} {service}","✅ Your booking for *{service}* has been successfully cancelled.\n\nReference: #{ref}\n\nIf you paid and would like a refund, please say *""I need a refund""* and I'll raise a request for you.","✅ An soke rajistarka ta *{service}*.\n\nLambar tunani: #{ref}\n\nIdan ka biya kuma kana son a mayar da kudi, ka ce *""I need a refund""* zan shirya maka.",""
"no_upcoming_booking","General replies","","I can't find an upcoming appointment under this number.","Ban sami wani alkawari mai zuwa a wannan lambar ba.",""
"tool_failure","General replies","","I ran into a technical problem completing that automatically. Let me connect you with a team member who can help right away.","An sami matsala yayin da nake yin haka kai tsaye. Bari in hada ka da ma’aikaci da zai taimaka nan take.",""
"capabilities","General replies","{org}","Here's what I can do for you at {org}:\n\n• Book, check, move or cancel an appointment\n• Share our payment details when you want to pay\n• File a complaint or report a problem\n• Raise a refund request\n• Answer questions about our services\n\nAnd any time you'd rather talk to a person, just say *""speak to an agent""*.","Ga abin da zan iya yi maka a {org}:\n\n• Yin alkawari, duba shi, canza shi ko soke shi\n• Ba ka bayanin yadda za ka biya\n• Daukar korafi ko rahoton matsala\n• Neman mayar da kudi\n• Amsa tambayoyi game da ayyukanmu\n\nDuk lokacin da kake son mutum, ka ce *""speak to an agent""*.",""
"language_menu","General replies","","Which language would you like me to use? Reply with a number:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá","Wane harshe kake so in yi amfani da shi? Ka amsa da lamba:\n\n1 — English\n2 — Nigerian Pidgin\n3 — Hausa\n4 — Igbo\n5 — Yorùbá",""
"language_set","General replies","","Done — I'll reply in English from now on. Say *""change language""* any time you want to switch.","An gama — zan yi maka magana da Hausa daga yanzu. Ka ce *""change language""* duk lokacin da kake son canzawa.",""
"language_voice_unavailable","General replies","{language} {language}","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?","I understand you, but I cannot speak {language} on a call — only English. I can bring in a colleague who speaks {language}, or we can continue on WhatsApp where I can write to you in it. Which would you prefer?",""
"flow_abandoned","Any form","","No problem — I've stopped that. Tell me any time you'd like to start again.","Babu matsala — na daina. Ka gaya mini duk lokacin da kake son sake farawa.",""
"flow_what_to_change","Any form","","No problem. Which part should I change?","Babu matsala. Wanne bangare zan canza?",""
"enrol_name_ask","PLASCHEMA enrollment form","","Let's get you registered. What is your full name, as it should appear on your health card?","Mu yi maka rijista. Menene cikakken sunanka, kamar yadda zai bayyana a katin lafiyarka?",""
"enrol_name_two_words","PLASCHEMA enrollment form","","Could you give me your full name — first name and surname?","Ka ba ni cikakken sunanka — sunan farko da sunan mahaifi.",""
"enrol_name_digits","PLASCHEMA enrollment form","","That looks like it has numbers in it. What is your full name?","Wannan yana da lambobi a ciki. Menene cikakken sunanka?",""
"enrol_age_ask","PLASCHEMA enrollment form","{name}","Thank you, {name}. How old are you, or what is your date of birth?","Na gode, {name}. Shekarunka nawa ne, ko kuma ranar haihuwarka?",""
"enrol_age_implausible","PLASCHEMA enrollment form","","That age does not look right. How old are you, in years?","Wannan shekarun ba su yi daidai ba. Shekarunka nawa ne?",""
"enrol_age_unclear","PLASCHEMA enrollment form","","Could you tell me your age in years, or your date of birth?","Ka gaya mini shekarunka, ko ranar haihuwarka.",""
"enrol_address_ask","PLASCHEMA enrollment form","","What is your street address, or the area where you live?","Menene adireshinka, ko yankin da kake zama?",""
"enrol_address_short","PLASCHEMA enrollment form","","Could you give me a bit more — the street or the area you live in?","Ka kara bayani kadan — titi ko yankin da kake zama.",""
